,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
14000,CLP3880F1085,FALABE00001,WHRE,2022,0,0,-5800000,0,0,-1700000,0,-61000000,-30000000,0,-580000,-850000,-15000000,-930000,-440000,0,0,"$2,520.61 "
14007,CA0089118776,AIRCAN00001,AIRL,2022,0,0,-1400000,0,0,-93000,0,-520000000,-260000000,0,-520000000,-630000,-600000000,-33000,-20000,0,0,"$5,029.87 "
14014,CNE100001QW3,CHINAE00003,FINS,2022,0,0,-180000,0,0,-140000,0,0,0,0,-19000,-19000,-3300000,-13000,-42000,0,0,"$2,250.63 "
14021,CNE100000SL4,CHINAE00003,FINS,2022,0,0,-180000,0,0,-140000,0,0,0,0,-19000,-19000,-3300000,-13000,-42000,0,0,"$7,350.87 "
14028,CNE1000049X9,CNGRAD00001,PERF,2022,0,0,-1700000,0,0,-1300000,0,0,0,0,-410000,-160000,-46000000,-29000,-420000,0,0,"$1,600.13 "
14034,ID1000129000,TELKOM00001,ITIS,2022,0,0,-440000,0,0,-260000,0,0,0,0,-86000,-78000,-17000000,-50000,-70000,0,0,"$13,961.97 "
14041,ID1000111305,ADAROE00001,COAL,2022,0,0,-5300000,0,0,-650000,0,0,0,0,-6800000,-2300000,-170000000,-49000,-200000,0,0,"$2,577.18 "
14048,US7445731067,PUBLIC00002,GENE,2022,0,0,-35000000,0,0,-3800000,-12000000,-12000000,-5800000,0,-40000000,-15000000,-800000000,-1600000,-790000,0,0,"$31,630.26 "
14055,KYG6145U1094,MINTHG00001,TRAN,2022,0,0,-9600000,0,0,-3800000,0,0,0,0,-1700000,-1900000,-25000000,-1500000,-870000,0,0,"$2,098.13 "
14062,KR7005940002,NHINVE00001,FINS,2022,0,0,-150000,0,0,-6100,0,0,0,0,-200000,-69000,-87000,-1900,-1400,0,0,$933.81 
14069,US91913Y1001,VALERO00001,OGES,2022,0,0,-88000000,0,0,-17000000,0,0,0,0,-8700000,-12000000,-2200000000,-15000000,-4400000,0,0,"$48,709.35 "
14076,IE00BF0L3536,AIBGRO00001,FINS,2022,0,0,-1900000,0,0,-780000,0,0,0,0,-470000,-470000,-1900000,-310000,-160000,0,0,"$5,102.22 "
